
"RES#","T","Rock unit","C","Comp","Craton","Slat","Slon","Age","B","N","P","R%","D","I","alfa95","k","Plat","Plon","A95","AV","Authors","Journal","Year","Vol","Pages","DOI"
"2636","s","Kintla formation","CA","","Laurentia-Wyoming","49.4","245.5","1423","6","12","M","17","211.7","38.0","8.1","69.5","-13.8","215.2","7.5","3","Evans, M.E., Bingham, D.K., McMurry, E.W.","Can. J. Earth Sci.","1975","12","52-61","http://dx.doi.org/10.1139/e75-006"
"2639","i","Upper Belt-Purcell supergroup -C","CA","","Laurentia-Wyoming","49.4","245.5","1423","15","44","C","67","28.3","-34.7","6.2","39.4","-17.1","217.8","5.4","4","Evans, M.E., Bingham, D.K., McMurry, E.W.","Can. J. Earth Sci.","1975","12","52-61","http://dx.doi.org/10.1139/e75-006"
"26391","i","Upper Belt-Purcell supergroup -N","CA","","Laurentia-Wyoming","49.4","245.5","1423","5","15","N","0","212.6","35.6","8.1","90.6","-15.1","213.8","7.1","3","Evans, M.E., Bingham, D.K., McMurry, E.W.","Can. J. Earth Sci.","1975","12","52-61","http://dx.doi.org/10.1139/e75-006"
"3631","s","Kintla formation","CA","","Laurentia-Wyoming","49.0","245.7","1423","3","59","M","20","43.0","-43.0","1.8","111.0","7.0","28.0","1.8","4","Norris, D.K., Black, R.F.","Nature","1961","192","933-935","http://dx.doi.org/10.1038/192933a0"
"175","s","Wallace formation, uppermost part","US","","Laurentia-Wyoming","48.1","243.9","1423","1","9*","R","100","39.6","-15.1","6.4","65.1","-24.2","200.0","4.7","3","Elston, D.P., Bressler, S.L.","J. Geophys. Res.","1980","85","339-355","http://dx.doi.org/10.1029/JB085iB01p00339"
"3498","s","Belt supergroup, Missoula group","UA","","Laurentia-Wyoming","48.0","246.0","1423","1","39*","R","100","38.0","-27.0","6.0","19.2","-19.0","207.0","4.2","3","Runcorn, S.K.","Geol. Soc. Am. Bull.","1964","74","687-704","http://dx.doi.org/10.1130/0016-7606(1964)75[687:PRFPSR]2.0.CO;2"
"74941","i","Sherman granite -N","US","","Laurentia-Wyoming","41.2","254.6","1425","6","57*","N","0","58.0","-47.1","9.6","49.7","-2.3","206.2","10","4","Harlan, S.S., Snee, L.W., Geissman, J.W., Brearley, A.J.","J. Geophys. Res.","1994","99","17997-18020","http://dx.doi.org/10.1029/94JB00580"
"2647","i","Spanish River dykes","CA","","Laurentia-Superior","46.5","278.4","1425","4","14","N","0","56.0","-29.0","19.0","5.0","-10.0","224.0","15.2","1","Robertson, W.A., Watkinson, D.H.","Can. J. Earth Sci.","1974","11","795-800","http://dx.doi.org/10.1139/e74-079"
"74942","i","Sherman granite -R","US","","Laurentia-Wyoming","41.2","254.6","1425","2","18*","R","100","254.6","41.2","36.2","49.6","-9.0","214.3","37.2","3","Harlan, S.S., Snee, L.W., Geissman, J.W., Brearley, A.J.","J. Geophys. Res.","1994","99","17997-18020","http://dx.doi.org/10.1029/94JB00580"
"3274","i","Sherman granite","US","","Laurentia-Wyoming","41.0","254.6","1425","5","14","M","80","52.0","-44.0","4.3","86.4","-8.0","209.0","4.4","3","Eggler, D.H., Larson, E.E.","Geophys. JRAS","1968","14","497-504","http://dx.doi.org/10.1111/j.1365-246X.1967.tb06269.x"
"9081","s","Gunflint formation, hematitic -R","CA","","Laurentia-Superior","48.5","271.0","1425","1","79*","R","100","70.3","-51.4","3.2","25.2","11.9","215.0","3.4","3","Schmidt, P.W., Williams, G.E.","Tectonophys.","2003","377","7-32","http://dx.doi.org/10.1016/j.tecto.2003.08.017"
"7494","i","Sherman granite -C","US","char.","Laurentia-Wyoming","41.2","254.6","1425","8","75*","C","24","53.1","-48.1","7.6","46.5","-4.3","210.5","8","4","Harlan, S.S., Snee, L.W., Geissman, J.W., Brearley, A.J.","J. Geophys. Res.","1994","99","17997-18020","http://dx.doi.org/10.1029/94JB00580"
"2599","i","Michael gabbro","CA","","Laurentia-Nain","54.5","301.0","1426","21","104","N","0","138.0","31.0","2.8","161.0","10.2","162.5","2.3","2","Fahrig, W.F., Larochelle, A.","Can. J. Earth Sci.","1972","9","1287-1296","http://dx.doi.org/10.1139/e72-112"
"174","s","Striped Peak formation, unit 1","US","","Laurentia-Wyoming","48.1","243.8","1430","1","27*","R","100","45.2","-20.3","5.9","22.9","-19.1","196.2","4.5","4","Elston, D.P., Bressler, S.L.","J. Geophys. Res.","1980","85","339-355","http://dx.doi.org/10.1029/JB085iB01p00339"
"9032","s","Bonner quartzite","US","","Laurentia-Wyoming","48.1","245.7","1430","12","187","N","0","219.8","38.6","4.7","85.8","-11.3","206.7","4.3","5","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"171","s","Bonner quartzite, combined","US","","Laurentia-Wyoming","47.6","246.7","1430","1","28*","N","0","225.7","39.4","3.8","58.7","-9.0","204.7","3.5","4","Elston, D.P., Bressler, S.L.","J. Geophys. Res.","1980","85","339-355","http://dx.doi.org/10.1029/JB085iB01p00339"
"172","s","Striped Peak formation, unit 4","CA","","Laurentia-Wyoming","49.1","243.9","1430","1","26*","N","0","231.2","35.2","3.5","67.9","-8.5","195.9","3","4","Elston, D.P., Bressler, S.L.","J. Geophys. Res.","1980","85","339-355","http://dx.doi.org/10.1029/JB085iB01p00339"
"9040","s","Belt supergroup","CA","Primary","Laurentia-Wyoming","47.7","246.1","1433","10","2239","M","?","32.4","-28.2","4.9","96.8","-20.1","210.4","4","6","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"5924","s","Belt supergroup (comb.)","US","comb.","Laurentia-Wyoming","47.5","245.9","1433","12","459","M","?","221.9","27.9","6.5","2.0","-17.3","203.4","7.1","4","Elston, D.P., Bressler, S.L.","J. Geophys. Res.","1980","85","339-355","http://dx.doi.org/10.1029/JB085iB01p00339"
"7493","i","Laramie anorthosite complex","US","","Laurentia-Wyoming","41.7","254.6","1433","29","194","M","?","44.6","-48.7","3.1","77.4","-7.4","216.8","3.3","5","Harlan, S.S., Snee, L.W., Geissman, J.W., Brearley, A.J.","J. Geophys. Res.","1994","99","17997-18020","http://dx.doi.org/10.1029/94JB00580"
"2810","i","Laramie Range anorthosite","US","","Laurentia-Wyoming","41.8","254.5","1433","1","8*","N","0","50.0","-34.0","5.0","110.0","-14.0","206.0","4.2","1","Larson, E.E., Reynolds, R., Hoblitt, R.","Geol. Soc. Am. Bull.","1973","84","3231-3248","http://dx.doi.org/10.1130/0016-7606(1973)84<3231:NVAPPP>2.0.CO;2"
"3688","s","Belt supergroup","US","","Laurentia-Wyoming","48.0","246.0","1433","6","109","M","17","221.0","42.0","12.0","35.0","-9.0","209.0","11.1","4","Collinson, D.W., Runcorn, S.K.","Geol. Soc. Am. Bull.","1960","71","915-958","http://dx.doi.org/10.1130/0016-7606(1960)71[915:PWACDE]2.0.CO;2"
"173","s","Mt. Shields formation","US","","Laurentia-Wyoming","47.4","246.9","1435","4","74","M","50","34.7","-25.0","2.5","45.6","-22.8","211.6","1.9","6","Elston, D.P., Bressler, S.L.","J. Geophys. Res.","1980","85","339-355","http://dx.doi.org/10.1029/JB085iB01p00339"
"8342","i","Electra Lake gabbro","US","","Laurentia-Wyoming","37.9","252.2","1435","21","173","N","0","32.1","-41.9","3.3","94.0","-21.1","221.1","3.2","4","Harlan, S.S., Geissman, J.W.","J. Geophys. Res.","1998","103","15497-15507","http://dx.doi.org/10.1029/98JB01350"
"9034","s","Mt. Shields formation, middle member","US","","Laurentia-Wyoming","47.6","246.3","1435","8","88","R","100","39.2","-27.1","7.2","60.6","-18.2","203.9","5.8","5","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"90331","s","Mt. Shields formation, upper member -N","US","","Laurentia-Wyoming","48.1","245.8","1435","6","106","N","0","219.7","35.6","4.8","192.6","-12.6","207.5","4.3","6","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"9035","s","Mt. Shields formation, lower member","US","","Laurentia-Wyoming","47.4","246.2","1435","4","141","R","100","26.3","-21.2","8.5","116.9","-26.1","215.0","6.5","5","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"9033","s","Mt. Shields formation, upper member -C","US","","Laurentia-Wyoming","48.1","245.8","1435","14","742","C","86","41.8","-29.7","5.3","74.1","-15.6","202.3","4.3","6","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"90332","s","Mt. Shields formation, upper member -R","US","","Laurentia-Wyoming","48.1","245.8","1435","8","636","R","100","43.3","-27.8","6.7","68.6","-16.5","201.8","5.4","6","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"176","s","Shepard formation, combined","US","","Laurentia-Wyoming","47.2","246.7","1440","3","83","R","100","31.0","-22.9","2.8","31.1","-24.7","212.8","2.2","5","Elston, D.P., Bressler, S.L.","J. Geophys. Res.","1980","85","339-355","http://dx.doi.org/10.1029/JB085iB01p00339"
"2637","s","Shepard formation","CA","","Laurentia-Wyoming","49.4","245.5","1440","8","24","R","100","25.8","-33.8","10.4","29.4","-18.3","219.7","9.3","2","Evans, M.E., Bingham, D.K., McMurry, E.W.","Can. J. Earth Sci.","1975","12","52-61","http://dx.doi.org/10.1139/e75-006"
"9036","s","Shepard formation","US","","Laurentia-Wyoming","47.6","246.3","1440","5","118","R","100","29.5","-24.8","7.0","121.9","-23.2","212.5","5.5","5","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"9037","i","Purcell lavas","CA","Primary","Laurentia-Wyoming","49.4","245.1","1443","10","166","R","100","26.6","-25.7","6.1","64.0","-23.6","215.6","4.9","5","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"2638","i","Purcell lavas","CA","","Laurentia-Wyoming","49.4","245.5","1443","3","8","R","100","28.5","-22.4","7.0","314.0","-24.0","214.7","5.4","2","Evans, M.E., Bingham, D.K., McMurry, E.W.","Can. J. Earth Sci.","1975","12","52-61","http://dx.doi.org/10.1139/e75-006"
"90381","s","Snowslip formation -N","US","","Laurentia-Wyoming","47.9","245.9","1445","2","49","N","0","225.0","27.8","36.6","48.8","-16.3","201.3","29.6","5","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"177","s","Snowslip formation","US","","Laurentia-Wyoming","47.0","245.9","1445","1","84*","M","?","217.1","17.5","3.9","16.5","-25.1","204.4","2.9","5","Elston, D.P., Bressler, S.L.","J. Geophys. Res.","1980","85","339-355","http://dx.doi.org/10.1029/JB085iB01p00339"
"2609","i","Shabogamo gabbro","CA","Far from Front","Laurentia-Grenville","54.2","295.7","1445","3","12","R","100","78.3","9.4","31.4","17.0","-11.9","213.7","22.2","2","Fahrig, W.F., Christie, K.W., Schwarz, E.J.","Can. J. Earth Sci.","1974","11","18-29","http://dx.doi.org/10.1139/e74-002"
"90382","s","Snowslip formation -R","US","","Laurentia-Wyoming","47.9","245.9","1445","9","246","R","100","32.1","-20.6","5.5","81.9","-24.7","259.2","4.1","6","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"9038","s","Snowslip formation -C","US","primary","Laurentia-Wyoming","47.9","245.9","1445","9","295","C","83","30.9","-20.6","4.6","128.8","-24.9","210.2","3.5","6","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"100193","i","Tobacco Root dykes A -R","US","A","Laurentia-Wyoming","46.7","245.7","1448","8","77","R","100","30.0","-58.2","9.7","33.8","0.3","222.8","12.3","5","Harlan, S.S., Geissman, J.W., Snee, L.W.","Prec. Res.","2008","163","239-264","http://dx.doi.org/10.1016/j.precamres.2007.12.002"
"100090","i","Tobacco Root dykes A -C","US","A","Laurentia-Wyoming","47.4","247.6","1448","14","157","C","57","225.0","61.8","7.7","27.9","8.7","216.1","10.5","5","Harlan, S.S., Geissman, J.W., Snee, L.W.","Prec. Res.","2008","163","239-264","http://dx.doi.org/10.1016/j.precamres.2007.12.002"
"100192","i","Tobacco Root dykes A -N","US","A","Laurentia-Wyoming","46.4","248.3","1448","6","80","N","0","248.7","63.5","8.0","71.6","19.6","204.0","11.3","5","Harlan, S.S., Geissman, J.W., Snee, L.W.","Prec. Res.","2008","163","239-264","http://dx.doi.org/10.1016/j.precamres.2007.12.002"
"9007","s","Kapuskasing structural zone rocks","CA","B, T","Laurentia-Superior","48.0","277.0","1450","","11","N","0","88.0","-51.0","23.0","3.5","22.0","210.6","25.5","1","Borradaile, G.J., Werner, T., Lagroix, F.","Tectonophys.","2003","363","103-125","http://dx.doi.org/10.1016/S0040-1951(02)00667-4"
"2055","i","Harp Lake complex -C","CA","","Laurentia-Nain","55.0","297.7","1450","24","110","C","58","273.0","0.8","6.1","25.0","1.6","206.3","4.3","4","Irving, E., Emslie, R.F., Park, J.K.","Can. J. Earth Sci.","1977","14","1187-1201","http://dx.doi.org/10.1139/e77-109"
"20551","i","Harp Lake complex -N","CA","","Laurentia-Nain","55.0","297.7","1450","10","50","N","0","272.1","8.5","7.0","49.0","4.7","208.4","5","4","Irving, E., Emslie, R.F., Park, J.K.","Can. J. Earth Sci.","1977","14","1187-1201","http://dx.doi.org/10.1139/e77-109"
"2401","i","Big Spruce complex","CA","SW","Laurentia-Slave","63.6","244.1","1450","2","9","N","0","210.0","27.0","","","-9.0","215.0","","1","Irving, E., McGlynn, J.C.","Can. J. Earth Sci.","1976","13","476-489","http://dx.doi.org/10.1139/e76-049"
"1742","i","Mistassini dyke swarm","CA","ovp.","Laurentia-Superior","51.5","286.5","1450","13","46","M","23","56.0","-17.5","9.6","20.0","-12.9","229.1","7.2","4","Fahrig, W.F., Christie, K.W., Chown, E.H., Janes, D., Machado, N.","Can. J. Earth Sci.","1986","23","238-253","http://dx.doi.org/10.1139/e86-026"
"9008","s","Kapuskasing structural zone rocks","CA","B, AF","Laurentia-Superior","48.0","277.0","1450","","18","N","0","77.0","-63.0","16.0","3.0","24.3","227.2","22.3","1","Borradaile, G.J., Werner, T., Lagroix, F.","Tectonophys.","2003","363","103-125","http://dx.doi.org/10.1016/S0040-1951(02)00667-4"
"20552","i","Harp Lake complex -R","CA","","Laurentia-Nain","55.0","297.7","1450","14","60","R","100","93.7","4.8","8.7","22.0","-0.2","203.3","6.2","4","Irving, E., Emslie, R.F., Park, J.K.","Can. J. Earth Sci.","1977","14","1187-1201","http://dx.doi.org/10.1139/e77-109"
"178","s","Empire formation, combined","US","","Laurentia-Wyoming","47.2","247.4","1450","2","30","N","0","220.4","26.2","6.9","15.7","-19.1","205.6","5.4","4","Elston, D.P., Bressler, S.L.","J. Geophys. Res.","1980","85","339-355","http://dx.doi.org/10.1029/JB085iB01p00339"
"179","s","Spokane formation","US","","Laurentia-Wyoming","47.3","247.5","1459","1","42*","N","0","210.8","18.2","5.2","18.8","-27.2","212.9","3.9","4","Elston, D.P., Bressler, S.L.","J. Geophys. Res.","1980","85","339-355","http://dx.doi.org/10.1029/JB085iB01p00339"
"2076","s","Spokane formation","US","HT","Laurentia-Wyoming","48.2","246.2","1459","14","88","N","0","201.7","40.2","5.1","61.0","-15.5","225.5","4.8","5","Vitorello, I., Van der Voo, R.","Can. J. Earth Sci.","1977","14","67-73","http://dx.doi.org/10.1139/e77-007"
"9039","s","Spokane formation","US","Primary","Laurentia-Wyoming","48.2","246.8","1459","8","231","N","0","206.3","23.7","6.0","86.4","-24.8","215.5","4.7","5","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"2274","i","Michikamau intrusion (comb.)","CA","","Laurentia-Grenville","54.5","296.0","1460","12","54","M","8","259.5","11.0","6.5","43.0","-1.5","217.5","4.7","5","Emslie, R.F., Irving, E., Park, J.K.","Can. J. Earth Sci.","1976","13","1052-1057","http://dx.doi.org/10.1139/e76-108"
"3338","i","Michikamau intrusion","CA","","Laurentia-Grenville","54.5","296.0","1460","6","29","N","0","262.2","9.6","9.7","34.9","-0.6","215.3","6.9","2","Murthy, G.S., Fahrig, W.F., Jones, D.L.","Can. J. Earth Sci.","1968","5","1139-1144","http://dx.doi.org/10.1139/e68-111"
"2273","i","Michikamau intrusion","CA","","Laurentia-Grenville","54.5","296.0","1460","6","25","N","0","257.0","12.5","9.5","53.0","-2.5","220.5","6.9","4","Emslie, R.F., Irving, E., Park, J.K.","Can. J. Earth Sci.","1976","13","1052-1057","http://dx.doi.org/10.1139/e76-108"
"3439","i","St. Francois Mountains volcanics","US","","Laurentia-Yavapai","37.5","269.5","1476","5","95","N","0","244.9","45.6","9.6","65.0","-1.3","216.7","9.8","3","Hays, W.W., Scharon, L.","J. Geophys. Res.","1966","71","553-560","http://dx.doi.org/10.1029/JZ071i002p00553"
"3435","i","St. Francois Mountains volcanics","US","","Laurentia-Yavapai","37.6","269.3","1476","11","49","N","0","243.3","47.4","4.4","110.0","-1.3","217.6","4.6","3","Hsu, I.C., Anderson, R.E., Scharon, L.","J. Geophys. Res.","1966","71","2645-2650","http://dx.doi.org/10.1029/JZ071i010p02645"
"8932","i","St. Francois Mountains acidic rocks","US","","Laurentia-Yavapai","37.5","269.5","1476","18","103","N","0","233.4","36.9","6.8","27.0","-13.2","219.0","6.1","5","Meert, J.G., Stuckey, W.","Tectonics","2002","21","1007","http://dx.doi.org/10.1029/2000TC001265"
"3186","s","Croker Island complex","CA","","Laurentia-Grenville","46.1","277.8","1500","19","23","N","0","251.7","41.6","8.5","13.7","5.4","217.2","8.4","1","Palmer, H.C.","Can. J. Earth Sci.","1969","6","213-218","http://dx.doi.org/10.1139/e69-020"
"2815","i","Beartooth Mountains dykes 7, 8","US","","Laurentia-Wyoming","45.0","250.0","1500","2","12","N","0","341.8","-60.0","9.7","65.8","-4.0","264.0","12.8","1","Larson, E.E., Reynolds, R., Hoblitt, R.","Geol. Soc. Am. Bull.","1973","84","3231-3248","http://dx.doi.org/10.1130/0016-7606(1973)84<3231:NVAPPP>2.0.CO;2"
"2417","i","Chibougamau greenstone belt","CA","CV","Laurentia-Superior","49.9","285.6","1500","2","10","N","0","60.0","-24.0","30.0","64.0","8.0","46.0","24.7","1","Ueno, H., Irving, E.","Prec. Res.","1976","3","303-315","http://dx.doi.org/10.1016/0301-9268(76)90024-3"
"2643","s","Nonacho group","CA","","Laurentia-Rae","61.6","250.2","1550","12","40","N","0","148.0","57.0","14.0","11.0","13.0","275.0","17.4","3","McGlynn, J.C., Hanson, G.N., Irving, E., Park, J.K.","Can. J. Earth Sci.","1974","11","30-42","http://dx.doi.org/10.1139/e74-003"
"2670","i","Port Radium sill","CA","","Laurentia-Slave","66.4","242.3","1555","1","3*","N","0","138.0","59.0","8.7","200.0","21.0","276.0","11.2","1","Irving, E., Donaldson, J.A., Park, J.K.","Can. J. Earth Sci.","1972","9","960-971","http://dx.doi.org/10.1139/e72-080"
"100303","i","Wind River dyke, WR-96","US","","Laurentia-Wyoming","42.4","251.5","1558","1","11*","N","0","61.0","81.2","5.5","70.0","48.6","274.5","10.4","2","Harlan, S.S., Geissman, J.W., Premo, W.R.","Tectonophys.","2003","362","105-122","http://dx.doi.org/10.1016/S0040-1951(02)00633-9"
"6940","s","Manitou Falls formation","CA","B","Laurentia-Transhudson","57.5","255.5","1575","1","6*","R","100","11.0","-36.0","7.0","76.0","-12.0","246.0","3.9","2","Kotzer, T.G., Kyser, T.K., Irving, E.","Can. J. Earth Sci.","1992","29","1474-1491","http://dx.doi.org/10.1139/e92-118"
"100292","i","Waweigh troctolite","CA","","Laurentia-Superior","50.2","270.9","1590","1","14*","N","0","42.2","-53.5","10.4","15.6","-2.0","237.8","11.6","2","Borradaile, G.J., Middleton, R.S.","Prec. Res.","2006","144","69-91","http://dx.doi.org/10.1016/j.precamres.2005.10.007"
"2669","i","Western Channel diabase","CA","","Laurentia-Slave","66.4","242.2","1590","35","130","R","100","356.0","-50.0","6.0","35.0","9.0","245.0","6.6","4","Irving, E., Donaldson, J.A., Park, J.K.","Can. J. Earth Sci.","1972","9","960-971","http://dx.doi.org/10.1139/e72-080"
"1628","i","Eskimo volcanics","CA","ovp.","Laurentia-Superior","56.4","281.0","1600","7","23","N","0","234.0","60.0","12.0","27.0","19.0","243.0","15.7","2","Schmidt, P.W.","Can. J. Earth Sci.","1980","17","807-822","http://dx.doi.org/10.1139/e80-081"
"2065","s","Seward formation","CA","B","Laurentia-Superior","56.3","291.5","1600","5","22","R","100","227.0","47.0","17.0","23.0","5.0","251.0","17.7","2","Park, J.K.","Can. J. Earth Sci.","1977","14","159-174","http://dx.doi.org/10.1139/e77-019"
"100330","i","Lake Owens complex","US","","Laurentia-Wyoming","41.2","253.8","1600","24","164","N","0","25.2","-32.9","5.2","33.8","26.4","46.9","4.4","2","Shive, P.N., Morel, J.A.","Contributions to Geology, University of Wyoming","1980","19","1-8",""
"1672","i","Sutton lake inlier diabase sill","CA","","Laurentia-Superior","54.4","275.3","1600","6","24","N","0","35.0","-54.0","11.0","39.0","-3.0","67.0","12.9","1","Schwarz, E.J., Clark, K.R., Fujiwara, Y.","Can. J. Earth Sci.","1982","19","1330-1332","http://dx.doi.org/10.1139/e82-114"
"1689","i","La Grande Riviere dykes","CA","A","Laurentia-Superior","53.7","287.0","1600","6","19","M","?","352.0","79.0","11.0","38.1","74.0","276.0","20.5","2","Seguin, M.K., Sharma, K.N.M., Woussen, G., Seymour, K.St., Symons, D.T.A.","Can. J. Earth Sci.","1983","20","339-343","http://dx.doi.org/10.1139/e83-031"
"100298","i","Lac Shpogan dykes","CA","","Laurentia-Superior","53.5","283.0","1600","4","16","N","0","110.1","-10.0","16.7","31.4","15.9","179.7","12","2","Buchan, K.L., Goutier, J., Hamilton, M., Ernst, R.E., Matthews, W.A.","Can. J. Earth Sci.","2007","44","643-664","http://dx.doi.org/10.1139/e06-124"
"2654","m","Melville - Daly Bay metamorphics","CA","A","Laurentia-Rae","64.1","271.0","1622","16","63","N","0","196.0","55.0","6.0","38.0","11.0","259.0","6.9","3","Park, J.K.","Can. J. Earth Sci.","1973","10","1079-1088","http://dx.doi.org/10.1139/e73-093"
"1895","i","Cape Smith basalts","CA","","Laurentia-Superior","60.8","281.8","1625","30","300","N","0","218.0","60.0","4.0","47.0","16.0","253.0","4.5","3","Fujiwara, Y., Schwarz, E.J.","Can. J. Earth Sci.","1975","12","1785-1793","http://dx.doi.org/10.1139/e75-158"
"10377","s","Unbaked Animikian Rove shale","CA","","Laurentia-Superior","48.4","271.2","1650","1","5*","N","0","254.0","48.0","49.0","3.0","11.7","212.1","51.7","2","Pesonen, L.J.","Bull. Geol. Soc. Fin.","1979","51","27-44",""
"5839","i","Grenville foreland dykes","CA","A","Laurentia-Superior","49.0","281.0","1654","5","35","N","0","254.6","55.5","12.3","40.0","17.6","226.1","14.9","2","Strangway, D.W.","J. Geol.","1964","72","648-663","http://dx.doi.org/10.1086/627021"
"10618","s","Lorrain purple siltstone","CA","B","Laurentia-Superior","46.3","276.1","1667","1","35*","N","0","332.0","-25.7","3.4","52.4","-25.0","306.3","2.7","2","Hilburn, I.A., Kirschvink, J.L., Tajika, E., Tada,R., Hamano, Y., Yamamoto, S.","Earth Plan. Sci. Lett.","2005","232","315-332","http://dx.doi.org/10.1016/j.epsl.2004.11.025"
"10619","s","Lorrain formation","CA","B","Laurentia-Superior","46.3","276.1","1667","1","116*","N","0","342.3","-29.3","2.2","37.5","-26.0","295.1","1.8","2","Hilburn, I.A., Kirschvink, J.L., Tajika, E., Tada,R., Hamano, Y., Yamamoto, S.","Earth Plan. Sci. Lett.","2005","232","315-332","http://dx.doi.org/10.1016/j.epsl.2004.11.025"
"3502","s","Barron and Sioux quartzite","US","","Laurentia-Superior","44.5","267.0","1675","4","33","N","0","224.5","73.8","22.7","17.3","22.9","246.8","38.9","1","Runcorn, S.K.","Geol. Soc. Am. Bull.","1964","74","687-704","http://dx.doi.org/10.1130/0016-7606(1964)75[687:PRFPSR]2.0.CO;2"
"1669","i","French River anorthosite","CA","C","Laurentia-Grenville","46.2","279.2","1700","?","16","N","0","158.0","26.0","7.0","29.0","-27.0","303.0","5.5","1","Stupavsky, M., Symons, D.T.A.","Can. J. Earth Sci.","1982","19","819-828","http://dx.doi.org/10.1139/e82-068"
"10627","s","Hornby sandstone horizontal","CA","","Laurentia-Slave","65.6","241.9","1700","4","4","N","0","134.0","40.8","11.8","61.0","6.3","283.5","11.2","2","Irving, E., Baker, J., Hamilton, M., Wynne, P.J.","Prec. Res.","2004","129","251-270","http://dx.doi.org/10.1016/j.precamres.2003.10.002"
"2671","s","Hornby Bay group","CA","","Laurentia-Slave","66.5","242.1","1700","1","2","N","0","151.0","61.0","","","22.0","265.0","","1","Irving, E., Donaldson, J.A., Park, J.K.","Can. J. Earth Sci.","1972","9","960-971","http://dx.doi.org/10.1139/e72-080"
"100291","s","Hornby sandstone bedding","CA","","Laurentia-Slave","66.5","242.2","1700","4","4","N","0","139.5","42.4","14.3","42.0","6.3","277.5","13.8","2","Irving, E., Baker, J., Hamilton, M., Wynne, P.J.","Prec. Res.","2004","129","251-270","http://dx.doi.org/10.1016/j.precamres.2003.10.002"
"6939","s","Manitou Falls formation","CA","A","Laurentia-Transhudson","57.5","255.5","1700","2","21*","N","0","158.0","62.0","5.0","48.0","12.0","271.0","6.5","2","Kotzer, T.G., Kyser, T.K., Irving, E.","Can. J. Earth Sci.","1992","29","1474-1491","http://dx.doi.org/10.1139/e92-118"
"1668","i","French River anorthosite","CA","B","Laurentia-Grenville","46.2","279.2","1700","14","90","N","0","126.0","25.0","2.0","57.0","-13.0","334.0","1.4","2","Stupavsky, M., Symons, D.T.A.","Can. J. Earth Sci.","1982","19","819-828","http://dx.doi.org/10.1139/e82-068"
"5925","i","Bighorn Mountains dykes 1, 2, 6","US","","Laurentia-Wyoming","44.5","253.0","1705","6","34","M","83","353.2","30.8","59.4","5.4","-67.0","264.0","26.1","2","Larson, E.E., Reynolds, R., Hoblitt, R.","Geol. Soc. Am. Bull.","1973","84","3231-3248","http://dx.doi.org/10.1130/0016-7606(1973)84<3231:NVAPPP>2.0.CO;2"
