"RES#";"ROCK";"ROCKUNIT";"CNTRY";"COMP";"CRAT";"SLAT";"SLON";"LMA";"HMA";"ISOAGE";"AGEREF";"AGEREF2";"MET";"AGE";"B";"N";"P";"R%";"D";"I";"alfa95";"k";"PLAT";"PLON";"DP";"DM";"A95";"1";"2";"3";"4";"5";"6";"PMAGREF";"COMMENT";"RECALC"
"10585";"i";"Grand Portage dykes";"US";NULL;"Laurentia-Superior";"47.9";"270.5";"1089";"1129";NULL;"APWP";NULL;"a, m";"1109";"1";"8*";"R";"100";"117.1";"-63.1";"6.4";"77.0";"47.6";"200.2";"8.0";"9.9";"8.9";"1";"0";"1";"0";"1";"0";"Green et al. (1987)";NULL;"0"
"10586";"i";"Thunder Bay sills and baked rocks -R";"CA";NULL;"Laurentia-Superior";"48.3";"271.0";"1090";"1130";NULL;"R correlation";"GPMDB 4.6";"corr.";"1110";"10";"49";"R";"100";"112.6";"-70.2";"6.5";"55.0";"49.3";"215.7";"9.7";"11.2";"10.4";"1";"1";"1";"1";"1";"0";"Pesonen (1979)";"Sills located in area from Thunder Bay to Nipigon to Rossport.";"0"
"10587";"i";"Pigeon River dykes -N";"CA";NULL;"Laurentia-Superior";"48.0";"270.3";"1086";"1102";NULL;"N correlation";NULL;"corr.";"1094";"1";"6*";"N";"0";"299.1";"42.3";"5.8";"131.0";"37.2";"176.2";"4.4";"7.1";"5.6";"1";"0";"1";"0";"1";"0";"Pesonen (1979)";NULL;"0"
"10588";"s";"Pioneer shale";"US";NULL;"Laurentia-Yavapai";"34.5";"249.5";"1250";"1350";NULL;"APWP";NULL;"a, m";"1300";"?";"25*";"R";"100";"21.0";"-36.0";"2.5";"131.0";"32.0";"46.0";"1.7";"2.9";"2.2";"0";"1";"0";"0";"1";"1";"Scott (1972)";"ChRM isolated at ca. 672 °C and interpreted to be late Elsonian.";"0"
"10589";"s";"Pioneer shale overprint";"US";NULL;"Laurentia-Yavapai";"34.5";"249.5";"980";"1080";NULL;"APWP";NULL;"a, m";"1030";"?";"27*";"N";"0";"257.0";"33.0";"2.7";"100.0";"-0.1";"181.6";"1.7";"3.1";"2.3";"0";"1";"0";"0";"1";"1";"Scott (1972)";"Although direction slightly disagrees with Gila sill directions, a heat generated secondary magnetization is likely.";"0"
"10590";"m";"Nakhimovski terrane Late Riphean sediments -C";"RU";NULL;"East Asian Foldbelt";"45.3";"133.4";"600";"1000";NULL;"APWP";NULL;"a, m";"800";"19";"113";"C";"53";"208.1";"-6.0";"11.0";"20.2";"41.1";"274.8";"5.5";"11.0";"7.8";"0";"1";"1";"1";"0";"1";"Bretshtein and Klimova (2007)";"Tectonically complex terranes, so AV5 = 0. No age data. Assigned to Late Riphean in this paper.";"0"
"10591";"m";"Nakhimovski terrane Late Riphean sediments -R";"RU";NULL;"East Asian Foldbelt";"45.3";"133.4";"600";"1000";NULL;"APWP";NULL;"a, m";"800";"10";"73";"R";"100";"204.6";"-8.9";"11.1";"15.8";"43.9";"278.3";"5.7";"11.2";"8.0";"0";"1";"1";"1";"0";"1";"Bretshtein and Klimova (2007)";"Tectonically complex terranes, so AV5 = 0. No age data. Assigned to Late Riphean in this paper.";"0"
"10592";"m";"Nakhimovski terrane Late Riphean sediments -N";"RU";NULL;"East Asian Foldbelt";"45.3";"133.4";"600";"1000";NULL;"APWP";NULL;"a, m";"800";"9";"40";"N";"0";"35.5";"4.8";"12.3";"14.5";"37.0";"266.8";"6.2";"12.3";"8.7";"0";"1";"1";"1";"0";"1";"Bretshtein and Klimova (2007)";"Tectonically complex terranes, so AV5 = 0. No age data. Assigned to Late Riphean in this paper.";"0"
"10593";"i";"Gunflint Keweenawan dykes - R";"US";NULL;"Laurentia-Superior";"48.5";"270.8";"1060";"1160";NULL;"APWP";NULL;"a, m";"1110";"?";"34*";"R";"100";"89.5";"-77.4";"3.4";"54.0";"43.0";"237.4";"6.0";"6.4";"6.2";"0";"1";"1";"1";"1";"0";"Purucker (1983)";"Age can be also 1650 or even 2100 Ma, here est. 1110 Ma.";"0"
"10594";"i";"Gunflint iron formation baked by Keweenawan dykes";"CA";NULL;"Laurentia-Superior";"48.5";"271.0";"1060";"1160";NULL;"APWP";NULL;"a, m";"1110";"?";"16*";"R";"100";"132.5";"-70.5";"3.6";"104.0";"60.6";"211.5";"5.4";"6.2";"5.8";"0";"0";"1";"1";"1";"0";"Purucker (1983)";"Age (1150 Ma) quoted in paper, here adjusted, est. 1110 Ma.";"0"
"10595";"i";"Carlton County dykes of Minnesota -R";"CA";NULL;"Laurentia-Superior";"46.7";"267.6";"1100";"1120";NULL;"APWP";NULL;"a, m";"1110";"1";"8*";"R";"100";"108.7";"-64.1";"4.8";"137.0";"42.3";"204.5";"6.1";"7.5";"6.8";"1";"0";"1";"0";"1";"0";"Green et al. (1987)";NULL;"0"
"10596";"i";"Nipigon Logan sills";"CA";NULL;"Laurentia-Superior";"49.0";"271.9";"1106";"1116";"1110.1 ± 2.5, 1109.9 ± 1.5, 1106.6 ± 1.5";"Heaman et al. (2007)";NULL;"g";"1112";"33 ";"204";"R";"100";"113.2";"-74.1";"3.3";"57.9";"51.4";"227.3";"5.4";"6.0";"5.7";"1";"1";"1";"0";"1";"0";"Pesonen (1979)";"Results combined from several articles.";"0"
"10597";"i";"Duluth gabbro, Cook county -R";"US";NULL;"Laurentia-Superior";"48.1";"269.6";"1100";"1140";NULL;"APWP";NULL;"a, m";"1105";"1";"13*";"R";"100";"127.7";"-58.3";"6.3";"44.2";"51.8";"185.8";"6.9";"9.3";"8.0";"1";"0";"0";"0";"0";"0";"Beck and Lindsley (1969)";"Data from Beck's thesis (1970). Age uncertain.";"0"
"10598";"i";"Baraboo quarzites";"CA";NULL;"Laurentia-Superior";"43.5";"270.3";"1650";"1850";NULL;"APWP";NULL;"a, m";"1750";"4";"25";"N";"0";"201.0";"66.4";"10.7";"74.0";"4.7";"257.0";"12.3";"17.6";"14.7";"0";"1";"0";"1";"1";"0";"Mercer (1984)";"See Kelly and Kean (2001): 47th SGL, 47 (1), 44.";"0"
"10599";"s";"Nonesuch mineralized zone (comb.)";"US";NULL;"Laurentia-Superior";"46.8";"270.4";"1020";"1090";"1050 ± 30, 1046 ± 46";"APWP";"Wingate et al. (2002)";"a, e/f";"1080";"29";"?";"N";"0";"279.2";"2.9";"3.9";"47.0";"7.3";"174.7";"2.0";"3.9";"3.0";"0";"1";"1";"1";"1";"0";"Symons et al. (2013)";"Authors suggest an age of 1063 ± 8 Ma based on host rock oxidation.";"0"
"10600";"i";"Wajrakarur kimberlite -C";"IN";NULL;"India-Dharwar";"15.1";"77.0";"1000";"1180";"1099 ± 12, 1129 ± 12, 1123 ± 17";"APWP";"Chalapathi Rao et al. (2013)";"a, d, f, e";"1090";"9";"34";"C";"33";"272.2";"89.6";"16.2";"11.0";"-15.4";"300.6";"32.4";"32.4";"32.4";"0";"0";"1";"0";"1";"1";"Pesonen et al. (2012)";"Scattered and semistable.";"0"
"10601";"i";"Wajrakarur kimberlite -N";"IN";NULL;"India-Dharwar";"15.1";"77.0";"1000";"1180";"1099 ± 12, 1129 ± 12, 1123 ± 17";"APWP";"Chalapathi Rao et al. (2013)";"a, d, f, e";"1090";"6";"27";"N";"0";"181.1";"80.9";"17.0";"16.4";"2.7";"257.1";"31.6";"32.8";"32.2";"0";"0";"1";"0";"1";"1";"Pesonen et al. (2012)";"Scattered and semistable.";"0"
"10602";"i";"Wajrakarur kimberlite -R";"IN";NULL;"India-Dharwar";"15.1";"77.0";"1000";"1180";"1099 ± 12, 1129 ± 12, 1123 ± 17";"APWP";"Chalapathi Rao et al. (2013)";"a, d, f, e";"1090";"3";"7";"R";"100";"177.6";"-71.2";"41.0";"10.1";"-49.3";"255.4";"62.5";"71.6";"66.9";"0";"0";"1";"0";"1";"1";"Pesonen et al. (2012)";"Scattered and semistable.";"0"
"10603";"i";"Wajrakarur kimberlites";"IN";NULL;"India-Dharwar";"15.1";"77.4";"1000";"1100";;"APWP";NULL;"a, m";"1050";"2";"12*";"R";"100";"179.3";"44.6";"18.8";"178.0";"48.7";"258.4";"14.9";"23.7";"18.8";"0";"0";"0";"0";"1";"0";"Poornachandra Rao et al. (1984)";"Intermediate direction, probably younger than steep direction poles from Wajrakarur";"0"
"10604";"i";"Lattavaram kimberlites";"IN";NULL;"India-Dharwar";"14.9";"77.3";"900";"1200";"1090 ± 20, 933, 1505";"Kumar et al. (1993)";NULL;"e, f";"1079";"2";"21*";"N";"0";"158.0";"42.0";"40.0";"1.6";"45.4";"286.4";"49.1";"30.1";"38.4";"1";"0";"0";"0";"1";"0";"Anand (1971)";NULL;"0"
"10605";"i";"Dharwar kimberlites";"IN";NULL;"India-Dharwar";"15.3";"77.3";"900";"1200";NULL;"APWP";NULL;"a, m";"1079";"7";"?";"N";"0";"106.9";"-49.9";"8.9";"8.9";"22.4";"165.0";"11.9";"7.9";"9.7";"0";"0";"1";"1";"1";"0";"Venkateshwarlu (2010)";"Abstract, age estimated, pers. comm. with author.";"0"
"10606";"i";"Wajrakarur kimberlite";"IN";NULL;"India-Dharwar";"15.1";"77.4";"1000";"1100";NULL;"APWP";NULL;"a, m";"1050";"2";"12*";"N";"0";"104.0";"-39.0";"11.0";"16.5";"18.3";"5.7";"13.1";"7.8";"10.1";"0";"0";"0";"0";"1";"0";"Anand (1971)";"Intermediate direction, probably younger than steep direction poles from Wajrakarur";"0"
"10607";"i";"Mean Closepet granite";"IN";NULL;"India-Dharwar";"12.5";"77.2";"1000";"1100";NULL;"APWP";NULL;"a, m";"1050";"3";"21";"N";"0";"286.7";"46.5";"16.2";"58.6";"20.5";"12.5";"13.4";"20.9";"16.7";"0";"0";"0";"0";"1";"0";"Prasad et al. (1999)";"Data interpreted as Ghats overprints.";"0"
"10608";"i";"Tiptur dykes";"IN";"grp. A";"India-Dharwar";"13.3";"76.5";"930";"1030";"980 ± 110";"APWP";NULL;"a, m";"980";"2";"44";"N";"0";"334.0";"32.8";NULL;NULL;"64.6";"0.2";NULL;NULL;NULL;"0";"0";"0";"0";"1";"0";"Bhalla et al. (1980b)";NULL;"0"
"10609";"i";"Tiptur dykes";"IN";"grp. B";"India-Dharwar";"12.3";"76.5";"930";"1030";"980 ± 110";"APWP";NULL;"a, m";"980";"6";"?";"R";"100";"286.7";"-19.2";"14.0";"23.9";"13.7";"332.7";"7.6";"14.6";"10.5";"0";"0";"0";"0";"1";"0";"Bhalla et al. (1980b)";NULL;"0"
"10610";"m";"Argun orogenic belt rocks -C";"RU";NULL;"Central Asia / Altaids";"50.7";"117.5";"600";"1000";NULL;"APWP";NULL;"a, m";"800";"10";"84";"C";"48";"195.3";"9.5";"35.6";"4.5";"33.0";"279.2";"18.2";"36.0";"25.6";"0";"0";"1";"1";"0";"1";"Bretshtein and Klimova (2007)";"Tectonically complex terranes, so AV5 = 0. No age data. Assigned to Late Riphean in this paper.";"0"
"10611";"m";"Argun orogenic belt rocks -R";"RU";NULL;"Central Asia / Altaids";"50.7";"117.5";"600";"1000";NULL;"APWP";NULL;"a, m";"800";"5";"40";"R";"100";"188.8";"-5.1";"28.3";"4.9";"41.3";"285.8";"14.2";"28.4";"20.1";"0";"0";"1";"1";"0";"1";"Bretshtein and Klimova (2007)";"Tectonically complex terranes, so AV5 = 0. No age data. Assigned to Late Riphean in this paper.";"0"
"10612";"m";"Argun orogenic belt rocks -N";"RU";NULL;"Central Asia / Altaids";"50.7";"117.5";"600";"1000";NULL;"APWP";NULL;"a, m";"800";"5";"44";"N";"0";"10.9";"-12.6";"25.4";"6.1";"32.2";"284.7";"13.1";"25.8";"18.4";"0";"0";"1";"1";"0";"1";"Bretshtein and Klimova (2007)";"Tectonically complex terranes, so AV5 = 0. No age data. Assigned to Late Riphean in this paper.";"0"
"10613";"i";"Dokhan volcanic formation";"EG";"A";"Red Sea Hills";"26.7";"33.9";"580";"611";"593 ± 13, 602 ± 9";"Wilde and Youssef (2000)";NULL;"g";"596";"10";"49";"R";"100";"178.1";"36.8";"9.7";"33.3";"42.7";"216.2";"6.6";"11.3";"8.7";"1";"1";"1";"0";"1";"0";"Nairn et al. (1987)";NULL;"0"
"10614";"s";"Bessemer basal quartzite";"US";NULL;"Laurentia-Superior";"45.0";"270.0";"1070";"1170";NULL;"APWP";"N correlation";"a, corr.";"1020";"1";"5*";"N";"0";"261.3";"38.1";NULL;NULL;"9.1";"201.2";NULL;NULL;NULL;"0";"0";"0";"0";"1";"0";"Books (1972)";"Could correlate with Shinumo quartzite in Arizona but is probably baked by overlying Powder Mill N lavas.";"0"
"10615";"i";"Wajrakarul mafic dyke";"IN";NULL;"India-Dharwar";"15.1";"77.4";"2000";"2200";NULL;"APWP";NULL;"a, m";"2100";"1";"2";"N";"0";"67.4";"1.9";NULL;NULL;"22.1";"172.6";NULL;NULL;NULL;"0";"0";"1";"0";"1";"0";"Pesonen et al. (2012)";NULL;"0"
"10616";"i";"Wajrakarul olivine diabase dyke";"IN";NULL;"India-Dharwar";"15.1";"77.4";"2000";"2200";NULL;"APWP";NULL;"a, m";"2100";"1";"3*";"N";"0";"72.8";"22.2";"11.4";"118.7";"19.4";"160.2";"6.4";"12.1";"8.8";"0";"0";"1";"0";"1";"0";"Pesonen et al. (2012)";NULL;"0"
"10617";"i";"Duluth Bardon metagabbro and granophyres";"US";NULL;"Laurentia-Superior";"46.7";"267.8";"1098";"1100";"1099.0 ± 0.5, 1091 ± 14";"Paces and Miller (1993)";NULL;"g,, e/f";"1099";"1";"11*";"N";"100";"286.9";"35.3";"6.8";"45.9";"25.5";"179.6";"4.5";"7.9";"6.0";"1";"0";"0";"0";"0";"0";"Beck and Lindsley (1969)";"Data from Beck's thesis (1970).";"0"
"10618";"s";"Lorrain purple siltstone";"CA";"B";"Laurentia-Superior";"46.3";"276.1";"2200";"2300";NULL;"APWP";NULL;"a, m";"1667";"1";"35*";"N";"0";"332.0";"-25.7";"3.4";"52.4";"-25.0";"306.3";"2.0";"3.6";"2.7";"0";"1";"1";"0";"0";"0";"Hilburn et al. (2005)";NULL;"0"
"10619";"s";"Lorrain formation";"CA";"B";"Laurentia-Superior";"46.3";"276.1";"1117";"1217";NULL;"Bekker et al. (2006a)";NULL;"s";"1667";"1";"116*";"N";"0";"342.3";"-29.3";"2.2";"37.5";"-26.0";"295.1";"1.3";"2.4";"1.8";"0";"1";"1";"0";"0";"0";"Hilburn et al. (2005)";NULL;"0"
"10620";"s";"Elgetei formation -C";"RU";"C";"Siberia-Aldan";"56.3";"134.7";"1728";"1736";"1732 ± 4";"Didenko et al. (2013)";NULL;"g";"1732";"1";"24*";"C";"50";"116.0";"42.7";"4.4";"46.9";"7.3";"190.1";"3.4";"5.4";"4.3";"1";"0";"1";"0";"0";"1";"Didenko et al. (2013)";"Not rotated to Anabar.";"0"
"10621";"s";"Elgetei formation -N";"RU";"N";"Siberia-Aldan";"56.3";"134.7";"1728";"1736";"1732 ± 4";"Didenko et al. (2013)";NULL;"g";"1732";"1";"12*";"N";"0";"118.1";"44.1";"8.2";"28.8";"7.3";"187.9";"6.4";"8.1";"7.2";"1";"0";"1";"0";"0";"1";"Didenko et al. (2013)";"Not rotated to Anabar.";"0"
"10622";"s";"Elgetei formation -R";"RU";"R";"Siberia-Aldan";"56.3";"134.7";"1728";"1736";"1732 ± 4";"Didenko et al. (2013)";NULL;"s, g";"1732";"1";"12*";"R";"100";"293.9";"-39.4";"4.3";"104.3";"6.2";"193.0";"3.1";"5.1";"4.0";"1";"0";"1";"0";"0";"1";"Didenko et al. (2013)";"Not rotated to Anabar.";"0"
"10623";"i";"Thomson dyke";"MN";"BMN";"Laurentia-Superior";"46.7";"267.6";"1000";"1150";"1100.6 ± 1.5";"Heaman et al. (2007)";NULL;"corr.";"1107";"1";"7*";"R";"100";"126.6";"-63.4";"4.0";"175.0";"53.4";"195.1";"5.0";"6.3";"5.7";"0";"0";"1";"1";"0";"0";"Mitchell (2007)";"This is just a Yale Univ. report but is important since the rocks have an N overprint and positive baked contact.";"0"
"10624";"i";"Logan diabases, Cook county -R";"US";NULL;"Laurentia-Superior";"48.1";"269.6";"1085";"1125";NULL;"APWP";NULL;"a, m";"1105";"1";"2";"R";"100";"126.4";"-64.8";NULL;NULL;"54.4";"189.2";NULL;NULL;NULL;"1";"0";"0";"0";"0";"0";"Beck and Lindsley (1969)";NULL;"0"
"10625";"i";"Lower part of lower Osler volcanics -R";"US";NULL;"Laurentia-Superior";"48.7";"271.9";"1102";"1120";"1105.3 ± 2.1";"Davis and Green (1997)";NULL;"g";"1108";"1";"13*";"R";"100";"118.2";"-63.0";"7.9";"28.7";"48.5";"200.3";"9.7";"12.4";"11.0";"1";"0";"0";"1";"1";"0";"Halls (1974)";"Lower part of R section.";"0"
"10626";"i";"Upper part of Lower Osler volcanics -R";"US";NULL;"Laurentia-Superior";"48.7";"271.9";"1100";"1105";"1105.3 ± 2.1";"Davis and Green (1997)";NULL;"g";"1103";"1";"12*";"R";"100";"113.5";"-53.0";"6.5";"46.0";"39.4";"190.4";"6.2";"9.0";"7.4";"1";"0";"0";"1";"1";"1";"Halls (1974)";"Age from Agate point, which is just below unconformity.";"0"
"10627";"s";"Hornby sandstone horizontal";"CA";NULL;"Laurentia-Slave";"65.6";"241.9";"1650";"1750";NULL;"APWP";NULL;"a, m";"1700";"4";"4";"N";"0";"134.0";"40.8";"11.8";"61.0";"6.3";"283.5";"8.7";"14.3";"11.1";"0";"0";"1";"0";"1";"0";"Irving et al. (2004)";NULL;"0"
"10628";"i";"Volhyn lavas";"UA";"A1, A2, A4";"Baltica-Ukraine";"51.2";"26.0";"561";"580";"561-580";"Elming et al. (2007)";NULL;"c";"571";"3";"74";"M";"?";"240.5";"80.9";"15.1";"68.0";"-40.4";"185.6";"28.1";"29.1";"28.5";"1";"0";"1";"0";"1";"1";"Elming et al. (2007)";NULL;"0"
"10629";"i";"Volhyn lavas";"UA";"C1, C2";"Baltica-Ukraine";"50.9";"26.2";"360";"580";NULL;"Elming et al. (2007)";NULL;"c";"540";"2";"66";"R";"100";"114.5";"-21.8";NULL;NULL;"24.1";"283.1";NULL;NULL;NULL;"0";"0";"1";"0";"1";"0";"Elming et al. (2007)";"Unclear age, may be even Devonian.";"0"
"10630";"i";"Fomich River intrusions, N. slope of Anabar uplift -C";"RU";"C";"Siberia-Anabar";"71.5";"106.5";"1452";"1564";"1513 ± 51";"Veselovskiy et al. (2006)";NULL;"h";"1513";"11";"77*";"C";"29";"27.9";"5.3";"9.9";"22.2";"18.9";"256.9";"5.0";"9.9";"7.0";"1";"1";"1";"0";"1";"1";"Veselovskiy et al. (2009)";"Not tilt corrected, negative reversal test.";"0"
"10631";"i";"Fomich River intrusions, N. slope of Anabar uplift -N";"RU";"N";"Siberia-Anabar";"71.5";"106.5";"1452";"1564";"1513 ± 51";"Veselovskiy et al. (2006)";NULL;"h";"1513";"?";"55*";"N";"0";"24.3";"11.5";"5.0";"15.1";"22.6";"260.2";"2.6";"5.1";"3.6";"1";"1";"1";"0";"1";"1";"Veselovskiy et al. (2009)";"Not tilt corrected, negative reversal test.";"0"
"10632";"i";"Fomich River intrusions, N. slope of Anabar uplift -R";"RU";"R";"Siberia-Anabar";"71.5";"106.5";"1452";"1564";"1513 ± 51";"Veselovskiy et al. (2006)";NULL;"h";"1513";"?";"22*";"R";"100";"215.5";"5.8";"13.3";"6.4";"12.1";"250.1";"6.7";"13.4";"9.5";"1";"0";"1";"0";"1";"1";"Veselovskiy et al. (2009)";"Not tilt corrected, negative reversal test.";"0"
"10633";"i";"Ovruch graben sills";"BL";NULL;"Baltica-Ukraine";"51.9";"28.5";"1710";"1810";NULL;"APWP";NULL;"a, m";"1760";"1";"22*";"N";"0";"41.5";"-31.8";"4.6";"51.4";"12.6";"168.2";"4.0";"7.2";"5.4";"0";"0";"1";"0";"1";"0";"Lubnina et al. (2009c)";"Intrude the 1780 Ma granitoids.";"0"
"10634";"i";"Pechenga-Verkhnetulomskii dykes";"RU";NULL;"Kola";"69.1";"31.5";"1717";"1817";"1767 ± 18";"Veselovskiy et al. (2013)";NULL;"c";"1767";"5";"45";"M";"?";"352.2";"48.8";"9.7";"63.2";"50.4";"222.2";"8.0";"13.0";"10.2";"1";"1";"1";"0";"1";"1";"Veselovskiy et al. (2013)";NULL;"0"
"10635";"i";"Kola dykes (I)";"RU";"D";"Kola";"68.0";"32.8";"2342";"2538";NULL;"APWP";NULL;"a, m";"2440";"1";"2";"N";"0";"94.1";"31.0";NULL;NULL;"-14.2";"292.9";NULL;NULL;NULL;"0";"0";"0";"0";"1";"0";"Mertanen et al. (1998)";NULL;"0"
"10636";"i";"Moncha pluton picrites & host rock 3";"RU";"E";"Kola";"68.0";"32.5";"2112";"2288";NULL;"APWP";NULL;"a, m";"2200";"1";"3*";"R";"0";"266.5";"40.0";"18.5";"40.0";"19.7";"314.6";"13.4";"22.3";"17.3";"0";"0";"1";"0";"1";"0";"Khramov et al. (1997b)";"This R direction can be either transitional, or even an N direction.";"0"
"10637";"i";"Kola dykes (II)";"RU";"B-H";"Kola";"69.0";"31.8";"2064";"2236";NULL;"APWP";NULL;"a, m";"2150";"3";"4";"N";"0";"29.4";"57.2";"18.3";"46.4";"-55.7";"348.4";"19.5";"26.7";"23.6";"0";"0";"0";"0";"1";"0";"Mertanen et al. (1998)";NULL;"0"
"10638";"i";"Kola dykes (III)";"RU";"A";"Kola";"69.0";"32.1";"1824";"1976";NULL;"APWP";NULL;"a, m";"1900";"8";"13";"N";"0";"335.4";"57.5";"8.0";"48.5";"57.2";"247.6";"8.6";"11.7";"9.8";"0";"0";"0";"0";"1";"0";"Mertanen et al. (1998)";NULL;"0"
"10639";"s";"Qiaoenbrak formation";"CN";NULL;"Tarim";"40.9";"79.5";"680";"780";"785 ± 30, ~760, ~730";"Zhan et al. (2007)";NULL;"a, g";"730";"14";"78";"M";"7";"246.1";"30.4";"11.0";"14.1";"6.3";"197.5";"6.1";"12.2";"9.1";"0";"1";"1";"1";"1";"1";"Wen et al. (2013)";"Dating relates to Aksu dykes by Zhu et al. (2011). 1 R-site.";"0"
"10640";"i";"Fomich River intrusions -C";"RU";"C";"Siberia-Anabar";"71.5";"106.5";"1452";"1564";"1513 ± 51";"Veselovskiy et al. (2006)";NULL;"h";"1513";"1";"52*";"C";"0";"27.0";"5.6";"5.9";"12.3";"-19.2";"77.8";"3.0";"5.9";"4.2";"1";"1";"1";"0";"1";"1";"Veselovskiy et al. (2006)";NULL;"0"
"10641";"i";"Fomich River intrusions -N";"RU";"N";"Siberia-Anabar";"71.5";"106.5";"1452";"1564";"1513 ± 51";"Veselovskiy et al. (2006)";NULL;"h";"1513";"1";"40*";"N";"0";"24.6";"7.8";"5.4";"19.5";"-20.6";"80.2";"2.7";"5.4";"3.9";"1";"1";"1";"0";"1";"1";"Veselovskiy et al. (2006)";NULL;"0"
"10642";"i";"Fomich River intrusions -R";"RU";"R";"Siberia-Anabar";"71.5";"106.5";"1452";"1564";"1513 ± 51";"Veselovskiy et al. (2006)";NULL;"h";"1513";"1";"12*";"R";"100";"216.0";"2.8";"19.5";"5.9";"-13.5";"69.3";"10.7";"20.4";"14.8";"1";"0";"1";"0";"1";"1";"Veselovskiy et al. (2006)";NULL;"0"
"10643";"i";"Seychelles dolerites";"SY";NULL;"Seychelles";"-4.6";"55.3";"745";"755";"750.2 ± 2.5, 620 ± 20";"Torsvik et al. (2001a)";"Hargraves and Duncan (1990)";"g, c";"750";"4";"22";"N";"0";"355.9";"57.5";"4.9";"41.0";"47.1";"50.6";"5.3";"7.2";"6.2";"1";"0";"0";"0";"1";"0";"Tokieda et al. (1983)";"These dykes cut the Mahé granites";"0"
"10644";"i";"Hlagothi complex";"ZA";"C";"Kalahari";"-28.5";"30.9";"1300";"1500";NULL;"APWP";NULL;"a, m";"1400";"4";"25";"N";"0";"100.3";"44.1";"23.1";"16.7";"-20.5";"101.8";"18.1";"28.9";"22.9";"0";"1";"1";"0";"1";"0";"Gumsley et al. (2013)";"Namaqua-Natal overprint, age estimated from APWP.";"0"
"10645";"i";"Richtersveld group and Gannakouriep dykes";"ZA";NULL;"Richtersveld";"-29.0";"17.6";"745";"845";"795.20 ± 0.53";"Rioux et al. (2010)";NULL;"g";"795";"36";"?";"N";"0";"347.0";"-61.0";"3.3";"48.8";"74.0";"234.0";"3.9";"5.1";"4.5";"1";"0";"1";"0";"1";"0";"Hanson et al. (2011)";NULL;"0"
"10646";"s";"Hooggenoeg-Kromberg basalt flows";"ZA";"LT2";"Kalahari";"-26.0";"31.0";"1700";"2054";NULL;"APWP";NULL;"a, m";"1800";"7";"100";"R";"100";"162.8";"-66.0";"14.3";"18.8";"13.6";"19.5";"19.3";"23.5";"22.2";"0";"0";"1";"0";"0";"0";"Biggin et al. (2011)";"Can be ~Waterberg intrusions.";"0"
"10647";"i";"Post-Waterberg dolerites, Umkondo-type";"ZA";NULL;"Kalahari";"-23.7";"28.1";"1109";"1111";"1109.8 ± 0.8";"Hanson et al. (2004a)";NULL;"g";"1110";"11";"94";"R";"100";"183.2";"-16.2";"14.4";"11.0";"57.9";"34.1";"7.7";"14.9";"10.7";"1";"1";"1";"0";"1";"0";"Gose et al. (2006)";"Tabulated by Gose et al. (2006) from data of Gose et al. (2006), Hanson et al. (2004) and Jones & McElhinny (1966).";"0"
"10648";"m";"Witwaterstrand Umkondo-type overprint";"ZA";"ovp.";"Kalahari";"-27.0";"27.5";"1000";"1200";NULL;"APWP";NULL;"a, m";"1100";"2";"?*";"R";"100";"174.2";"-6.8";"33.7";"57.1";"-23.3";"5.7";"17.0";"33.8";"24.0";"0";"0";"1";"0";"0";"0";"Layer et al. (1988b)";NULL;"0"
"10649";"i";"Umkondo dyke, W Zimbabwe";"ZW";NULL;"Zimbabwe";"-18.0";"31.5";"1107";"1113";"1110 ± 3, 1111 ± 2";"Hanson et al. (2004a)";NULL;"g";"1110";"1";"5*";"R";"100";"181.4";"-15.6";"7.9";"95.3";"64.1";"34.7";"4.2";"7.9";"5.8";"0";"0";"1";"0";"1";"1";"Wilson et al. (1987)";NULL;"0"
"10650";"s";"Gonam formation of Uchur-Maya (Aldan) -C";"RU";"C";"Siberia-Aldan";"57.0";"131.3";"1550";"1850";NULL;"APWP";NULL;"a, m";"1700";"9";"59";"C";"10";"36.8";"6.8";"5.3";"15.6";"32.1";"273.6";"4.3";"8.5";"6.0";"0";"1";"1";"0";"1";"1";"Veselovskiy et al. (2009)";"Tilt test inconclusive. Sample level. Age estimated by authors (Fig. 11).";"0"
"10651";"s";"Gonam formation of Uchur-Maya (Aldan) -N";"RU";"N";"Siberia-Aldan";"57.0";"131.3";"1550";"1850";NULL;"APWP";NULL;"a, m";"1700";"8";"53";"N";"0";"38.5";"9.8";"5.4";"17.8";"29.8";"265.6";"2.8";"5.5";"3.9";"0";"1";"1";"0";"1";"1";"Veselovskiy et al. (2009)";"Tilt test inconclusive. Sample level. Age estimated by authors (Fig. 11).";"0"
"10652";"s";"Gonam formation of Uchur-Maya (Aldan) -R";"RU";"R";"Siberia-Aldan";"57.0";"131.3";"1550";"1850";NULL;"APWP";NULL;"a, m";"1700";"1";"6*";"R";"100";"212.4";"4.0";"20.5";"11.9";"25.5";"274.8";"10.3";"20.5";"14.5";"0";"0";"1";"0";"1";"1";"Veselovskiy et al. (2009)";"Tilt test inconclusive. Sample level. Age estimated by authors (Fig. 11).";"0"
